character,universe,page_length
Blue Condor,Prime Earth,357642
Boreas,New Earth,354768
Breathtaker II,New Earth,360894
Bromwell Stikk,Earth-16,358135
Bromwell Stikk,New Earth,366655
Chase Lawler,New Earth,363925
Citizen Abra,Earth-508,358707
Cloud 9,Prime Earth,356824
Clyde Mardon,Arrowverse,358247
David Drake,Injustice,347133
David Drake,Prime Earth,376100
Dervish,New Earth,350921
Drogue,Prime Earth,369283
Dust Devil,New Earth,352084
Eleanor Darhk,Arrowverse,381901
Emilo Storn,Earth-One,354773
Eobard Thawne,Injustice,440421
Eurus,Earth 2,366332
Feng Po Impostor,New Earth,354978
Feodor Piotrovitch Sorin,New Earth,349341
Gabriel,Constantine Movie,368198
Gary Johnson,Earth-One,351357
Hades,DCAU,370062
Harmonia Li,Pre-Zero Hour,378806
Hemi Kiwara,New Earth,349666
Hurricane,New Earth,349928
Inertia II,New Earth,355257
Jason,Prime Earth,428689
Jason Garrick,DC Legends,356109
Jason Garrick,Injustice,365770
Jay Garrick clone,New Earth,359455
Jinx,New Earth,372157
Jocelyn Jackam,Arrowverse,368103
John Constantine,Arrowverse,414014
John Trujillo,New Earth,369487
Jonathan Chambers,New Earth,397720
Joseph Carver,Prime Earth,357616
Khalid,New Earth,350940
King of Tears,New Earth,349639
Leonard Lewis,Just Imagine,376942
Linda Park,Earth 32,361137
Lithium,Prime Earth,353632
Lloyd Jefferson,New Earth,353567
Lois Lane,Earth 2,392403
Lucifer Rofocale,Constantine Movie,379087
Lumi,Fables,357280
Lutessa Luthor,Smallville,421350
Maelstrom,Prime Earth,361925
Mark Mardon,Arrowverse,357973
Mas y Menos,Tiny Titans,353934
Maxine Hunkel,Earth-22,350148
Maxine Hunkel,New Earth,371067
Meena Dhawan,Prime Earth,381784
Merlin,New Earth,389360
Merton McSnurtle,Tiny Titans,354509
Monkey Prince,Prime Earth,365841
Moshe Levy,New Earth,352258
Nightstorm,Prime Earth,357377
Omar Kamadev,Wildstorm Universe,356545
Ororo of Themyscira,Amalgam Universe,358335
Peter Dale,Earth-One,354350
Red Tornado,Crisis on Two Earths,352311
Red Tornado,DCAU,356864
Red Tornado,Earth -22,353197
Red Tornado,Earth-11,349666
Red Tornado,Earth-16,367690
Red Tornado,Flashpoint Timeline,351345
Red Tornado,Injustice,350415
Red Tornado,Justice League Action,356252
Red Tornado,Justice,360456
Red Tornado,Lego Batman,366915
Red Tornado,New Earth,411825
Red Tornado,Prime Earth,364175
Red Tornado,Super Friends,354133
Red Tornado,The Brave and the Bold,361296
Red Tornado,The New Order,345655
Robinson Goode,Prime Earth,361495
Roscoe Dillon,Prime Earth,363656
